date,contact,travel,under_inv,total,under_20yrs,youthadults_20_39,rubyage_40_49,goldage_50_59,diamondage_60_69,platinumage_70up,days_since
2021-12-15,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
2021-12-17,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0
2021-12-18,12.0,1.0,3.0,16.0,3.0,3.0,1.0,0.0,1.0,3.0,6.0
2021-12-19,9.0,0.0,7.0,16.0,0.0,4.0,2.0,0.0,1.0,2.0,8.0
2021-12-20,10.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0
2021-12-21,7.0,0.0,3.0,10.0,2.0,0.0,1.0,2.0,1.0,3.0,2.0
2021-12-22,0.0,0.0,10.0,10.0,3.0,2.0,1.0,1.0,1.0,3.0,0.0
2021-12-23,4.0,0.0,15.0,19.0,2.0,6.0,3.0,2.0,1.0,3.0,3.0
2021-12-24,6.0,0.0,2.0,8.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0
2021-12-29,0.0,0.0,53.0,53.0,9.0,6.0,6.0,5.0,5.0,10.0,13.0
2021-12-30,0.0,0.0,53.0,53.0,13.0,12.0,8.0,4.0,1.0,6.0,10.0
2021-12-31,0.0,0.0,37.0,37.0,2.0,10.0,3.0,4.0,1.0,10.0,8.0
2022-01-03,0.0,0.0,64.0,64.0,15.0,10.0,9.0,8.0,4.0,8.0,14.0
