date,contact,travel,under_inv,total,under_20yrs,youthadults_20_39,rubyage_40_49,goldage_50_59,diamondage_60_69,platinumage_70up,days_since
2021-12-15,1.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0
2021-12-17,2.0,8.0,1.0,11.0,1.0,6.0,1.0,2.0,1.0,0.0,2.0
2021-12-18,1.0,0.0,4.0,5.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0
2021-12-19,0.0,0.0,13.0,13.0,0.0,9.0,1.0,3.0,0.0,0.0,1.0
2021-12-20,2.0,0.0,2.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0
2021-12-21,2.0,3.0,4.0,9.0,2.0,3.0,0.0,2.0,2.0,0.0,1.0
2021-12-22,0.0,0.0,37.0,37.0,2.0,25.0,2.0,4.0,3.0,1.0,1.0
2021-12-23,4.0,3.0,66.0,72.0,5.0,49.0,7.0,10.0,2.0,0.0,1.0
2021-12-24,0.0,0.0,47.0,47.0,9.0,28.0,3.0,5.0,1.0,1.0,1.0
2021-12-29,0.0,0.0,216.0,216.0,24.0,106.0,26.0,32.0,13.0,5.0,5.0
2021-12-30,0.0,0.0,199.0,199.0,36.0,86.0,27.0,30.0,10.0,9.0,1.0
2021-12-31,0.0,0.0,272.0,272.0,36.0,98.0,39.0,44.0,35.0,20.0,1.0
2022-01-03,0.0,0.0,276.0,276.0,55.0,112.0,31.0,40.0,18.0,20.0,4.0
