areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
region,London,E12000007,2022-01-03,5171,1899929
region,London,E12000007,2022-01-02,17482,1894758
region,London,E12000007,2022-01-01,11385,1877276
region,London,E12000007,2021-12-31,18599,1865891
region,London,E12000007,2021-12-30,25038,1847292
region,London,E12000007,2021-12-29,32521,1822254
region,London,E12000007,2021-12-28,25127,1789733
region,London,E12000007,2021-12-27,25029,1764606
region,London,E12000007,2021-12-26,16952,1739577
region,London,E12000007,2021-12-25,10145,1722625
region,London,E12000007,2021-12-24,21621,1712480
region,London,E12000007,2021-12-23,27820,1690859
region,London,E12000007,2021-12-22,28825,1663039
region,London,E12000007,2021-12-21,30448,1634214
region,London,E12000007,2021-12-20,29285,1603766
region,London,E12000007,2021-12-19,20399,1574481
region,London,E12000007,2021-12-18,22444,1554082
region,London,E12000007,2021-12-17,24264,1531638
region,London,E12000007,2021-12-16,26900,1507374
region,London,E12000007,2021-12-15,27786,1480474
region,London,E12000007,2021-12-14,26655,1452688
region,London,E12000007,2021-12-13,20874,1426033
region,London,E12000007,2021-12-12,11382,1405159
region,London,E12000007,2021-12-11,9152,1393777
region,London,E12000007,2021-12-10,9534,1384625
region,London,E12000007,2021-12-09,9643,1375091
region,London,E12000007,2021-12-08,9371,1365448
region,London,E12000007,2021-12-07,8521,1356077
region,London,E12000007,2021-12-06,8168,1347556
region,London,E12000007,2021-12-05,5306,1339388
region,London,E12000007,2021-12-04,5166,1334082
region,London,E12000007,2021-12-03,5892,1328916
region,London,E12000007,2021-12-02,6342,1323024
region,London,E12000007,2021-12-01,6873,1316682
region,London,E12000007,2021-11-30,6661,1309809
region,London,E12000007,2021-11-29,6670,1303148
region,London,E12000007,2021-11-28,4259,1296478
region,London,E12000007,2021-11-27,4220,1292219
region,London,E12000007,2021-11-26,4508,1287999
region,London,E12000007,2021-11-25,5078,1283491
region,London,E12000007,2021-11-24,5264,1278413
region,London,E12000007,2021-11-23,5163,1273149
region,London,E12000007,2021-11-22,5286,1267986
region,London,E12000007,2021-11-21,3750,1262700
region,London,E12000007,2021-11-20,3615,1258950
