X,Y,objectid,globalid,CreationDate,Creator,EditDate,Editor,date_updated,under_19,_20_39,_40_49,_50_59,_60_69,_70_100,percent_female,percent_male,prov_join_field
0,0,1,ffc9f5c1-0570-4f94-8789-cbda53d8f082,2020/03/30 18:53:19.373+00,phearns,2021/12/21 16:05:37.886+00,andreweaton,2020/03/30 14:30:00+00,11,19,22,30,25,28,0,0,NL
0,0,2,08dde1f2-dc7d-450b-88ef-3e98b4a1e3e0,2020/04/01 16:33:51.939+00,phearns,2021/12/21 16:05:35.200+00,andreweaton,2020/04/01 14:30:00+00,13,24,29,40,36,33,0,0,NL
0,0,3,43175650-bec5-44b1-8e5c-6aa766c572ec,2020/04/04 13:46:23.612+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/04/03 14:30:00+00,15,25,31,44,42,38,0,0,NL
0,0,4,e287f5dc-0ec2-4d48-8335-5c9eda36a2ef,2020/04/04 17:11:48.487+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/04/04 14:30:00+00,16,26,32,46,42,41,0,0,NL
0,0,5,13fd2bce-d80b-4a3b-8865-3bc7c1144c62,2020/04/05 17:24:43.616+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/04/05 14:30:00+00,19,29,33,49,45,42,0,0,NL
0,0,6,172f34c5-b4b0-4e5e-8230-04899ad15f98,2020/04/06 17:34:48.337+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/04/06 14:30:00+00,20,33,33,50,47,43,0,0,NL
0,0,7,7827f5d3-d222-4ddc-855d-573e7f8aa131,2020/04/07 17:31:45.087+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/04/07 14:30:00+00,20,34,33,50,48,43,0,0,NL
0,0,8,e33d1c63-d42c-45f7-808f-8acf83bf640e,2020/04/08 17:16:05.765+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/04/08 14:30:00+00,20,34,33,51,50,44,0,0,NL
0,0,9,b036b562-576b-43df-8084-d5cf6f7d8071,2020/04/09 17:41:18.985+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/04/09 14:30:00+00,20,35,33,52,51,45,0,0,NL
0,0,10,98d67e03-8c5e-4651-8e68-a7b543f7fa03,2020/04/10 16:00:24.689+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/04/10 14:30:00+00,20,37,33,52,52,45,0,0,NL
0,0,11,fa0adce4-246f-4fcb-8ea4-9641a1bd56f6,2020/04/11 17:11:56.480+00,phearns,2020/12/01 12:01:15.033+00,phearns,2020/04/11 14:30:00+00,20,37,33,53,53,45,0,0,NL
