date,under_20,20_39,40_49,50_59,60_69,70,health_authority,new_cases,males,females,nl_cases,nl_hosp,nl_icu,nl_death,nl_tests,population
2022-01-17,4.0,15.0,4.0,6.0,2.0,8.0,central_ha,39.0,15,24,239,15,3,0,0,91201
2022-01-14,2.0,3.0,4.0,6.0,2.0,9.0,central_ha,26.0,13,13,475,8,3,1,0,91201
2022-01-13,5.0,19.0,7.0,8.0,4.0,9.0,central_ha,52.0,23,29,686,8,3,0,0,91201
2022-01-12,4.0,11.0,9.0,6.0,7.0,7.0,central_ha,44.0,14,30,731,7,3,0,0,91201
2022-01-11,5.0,4.0,5.0,4.0,2.0,1.0,central_ha,21.0,7,14,750,7,3,0,0,91201
2022-01-10,15.0,12.0,7.0,12.0,6.0,7.0,central_ha,59.0,33,26,1135,4,2,0,0,91201
2022-01-07,18.0,20.0,6.0,14.0,13.0,10.0,central_ha,81.0,39,42,480,4,0,1,0,91201
2022-01-06,21.0,25.0,31.0,29.0,28.0,20.0,central_ha,154.0,63,91,503,4,0,0,0,91201
2022-01-05,4.0,6.0,4.0,6.0,3.0,7.0,central_ha,30.0,21,9,479,3,0,0,0,91201
2022-01-04,5.0,15.0,9.0,9.0,13.0,6.0,central_ha,57.0,26,32,493,1,0,0,0,91201
2022-01-03,8.0,14.0,15.0,10.0,9.0,8.0,central_ha,64.0,29,35,519,1,0,0,0,91201
2021-12-31,10.0,8.0,2.0,10.0,3.0,4.0,central_ha,37.0,19,18,431,1,0,1,0,91201
2021-12-30,6.0,10.0,13.0,12.0,8.0,4.0,central_ha,53.0,21,32,349,1,0,0,0,91201
2021-12-29,10.0,13.0,9.0,6.0,6.0,5.0,central_ha,49.0,24,25,312,0,0,0,0,91201
2021-12-24,0.0,1.0,1.0,2.0,3.0,1.0,central_ha,8.0,5,3,85,1,0,0,0,91201
2021-12-23,3.0,3.0,2.0,6.0,3.0,2.0,central_ha,19.0,8,11,100,0,0,0,0,91201
2021-12-22,3.0,0.0,3.0,2.0,1.0,1.0,central_ha,10.0,8,2,60,0,0,0,0,91201
2021-12-21,3.0,2.0,2.0,0.0,1.0,2.0,central_ha,10.0,7,3,27,0,0,0,0,91201
2021-12-20,1.0,8.0,0.0,0.0,0.0,1.0,central_ha,10.0,5,5,27,0,0,0,0,91201
2021-12-19,2.0,8.0,0.0,4.0,2.0,0.0,central_ha,16.0,10,6,38,0,0,0,0,91201
2021-12-17,0.0,2.0,2.0,0.0,0.0,0.0,central_ha,4.0,2,2,46,0,0,0,0,91201
2021-12-15,0.0,0.0,0.0,1.0,0.0,0.0,central_ha,1.0,1,0,13,0,0,0,0,91201
2021-12-13,5.0,4.0,2.0,0.0,0.0,0.0,central_ha,11.0,0,0,0,0,0,0,0,91201
