X,Y,objectid,globalid,prov,regional_health_authority,date_updated,total_number_of_cases,new_cases,currently_hospitalized,current_in_icu,total_number_recovered,total_number_of_deaths,active_cases,total_people_tested,Population,CasesPer10KPop,CreationDate,Creator,EditDate,Editor
,,1,{2A599D1C-84B7-4AFC-BD10-92D29CA05E12},NL,Western_RHA,2020/03/25 18:30:00+00,1,1,0,0,0,0,1,0,7.414,0.134879956838414,2020/05/05 18:00:01+00,phearns,2020/05/05 18:05:26+00,phearns
,,2,{3BE7D707-CB17-43C4-AB86-CCA86928C28D},NL,western_rha,2020/03/26 17:29:59+00,1,0,0,0,0,0,1,0,7.414,0.134879956838414,2020/05/05 18:00:01+00,phearns,2020/12/10 11:52:28+00,phearns
,,3,{4CA17D2E-4D3F-4477-9020-9B1C6E4E7AE9},NL,western_rha,2020/03/27 17:15:00+00,1,0,0,0,1,0,0,0,7.414,0.134879956838414,2020/05/05 18:00:01+00,phearns,2020/12/10 11:52:28+00,phearns
,,4,{700895FD-7867-4CF8-A8BC-393EA90ECF32},NL,Western_RHA,2020/03/28 17:15:00+00,1,0,0,0,1,0,0,0,7.414,0.134879956838414,2020/05/05 18:00:02+00,phearns,2020/12/10 11:52:29+00,phearns
,,5,{B53C61E0-1B8A-4123-9ECD-2ECEACDC51B0},NL,Western_RHA,2020/03/29 17:15:00+00,1,0,0,0,1,0,0,0,7.414,0.134879956838414,2020/05/05 18:00:02+00,phearns,2020/12/10 11:52:29+00,phearns
,,6,{1FEE98DA-2C7A-4766-A73D-C4E88C738A3A},NL,Western_RHA,2020/03/30 17:15:00+00,1,0,0,0,1,0,0,0,7.414,0.134879956838414,2020/05/05 18:00:02+00,phearns,2020/12/10 11:52:29+00,phearns
,,7,{0CF5EBFD-2B9F-4C8A-96E4-2D68486D167C},NL,Western_RHA,2020/03/31 16:44:59+00,1,0,0,0,1,0,0,0,7.414,0.134879956838414,2020/05/05 18:00:02+00,phearns,2020/12/10 11:52:29+00,phearns
,,8,{0E81297E-97F2-4A8B-90E3-035CB4E8ACCD},NL,Western_RHA,2020/04/01 16:44:59+00,1,0,0,0,1,0,0,0,7.414,0.134879956838414,2020/05/05 18:00:02+00,phearns,2020/12/10 11:52:29+00,phearns
,,9,{5D52FBA7-A223-46C7-B7C7-0D0DEF251A18},NL,Western_RHA,2020/04/02 16:44:59+00,1,0,0,0,1,0,0,0,7.414,0.134879956838414,2020/05/05 18:00:03+00,phearns,2020/12/10 11:52:30+00,phearns
,,10,{D3E74981-6AF4-486B-8DF6-7A4F0F9ED983},NL,Western_RHA,2020/04/03 16:30:00+00,1,0,0,0,1,0,0,0,7.414,0.134879956838414,2020/05/05 18:00:03+00,phearns,2020/12/10 11:52:30+00,phearns
