date,under_20,20_39,40_49,50_59,60_69,70,health_authority,new_cases,males,females,nl_cases,nl_hosp,nl_icu,nl_death,nl_tests,population
2022-01-17,6.0,9.0,8.0,1.0,1.0,0.0,western_ha,25.0,18,7,239,15,3,0,0,76608
2022-01-14,8.0,17.0,3.0,3.0,3.0,5.0,western_ha,39.0,16,23,475,8,3,1,0,76608
2022-01-13,1.0,11.0,5.0,9.0,3.0,21.0,western_ha,50.0,23,27,686,8,3,0,0,76608
2022-01-12,5.0,23.0,13.0,12.0,5.0,6.0,western_ha,64.0,30,32,731,7,3,0,0,76608
2022-01-11,8.0,14.0,5.0,5.0,3.0,2.0,western_ha,37.0,18,19,750,7,3,0,0,76608
2022-01-10,6.0,15.0,7.0,8.0,3.0,0.0,western_ha,39.0,16,23,1135,4,2,0,0,76608
2022-01-07,7.0,24.0,11.0,17.0,11.0,29.0,western_ha,99.0,47,52,480,4,0,1,0,76608
2022-01-06,6.0,15.0,6.0,6.0,4.0,4.0,western_ha,41.0,21,20,503,4,0,0,0,76608
2022-01-05,7.0,21.0,9.0,7.0,5.0,8.0,western_ha,57.0,30,26,479,3,0,0,0,76608
2022-01-04,9.0,11.0,5.0,5.0,1.0,2.0,western_ha,33.0,13,20,493,1,0,0,0,76608
2022-01-03,5.0,17.0,7.0,8.0,2.0,4.0,western_ha,43.0,18,25,519,1,0,0,0,76608
2021-12-31,2.0,9.0,7.0,4.0,1.0,2.0,western_ha,25.0,8,17,431,1,0,1,0,76608
2021-12-30,4.0,7.0,7.0,2.0,1.0,1.0,western_ha,22.0,10,12,349,1,0,0,0,76608
2021-12-29,4.0,16.0,1.0,4.0,2.0,3.0,western_ha,30.0,15,15,312,0,0,0,0,76608
2021-12-24,10.0,6.0,7.0,1.0,1.0,1.0,western_ha,26.0,13,13,85,1,0,0,0,76608
2021-12-23,1.0,4.0,1.0,1.0,0.0,0.0,western_ha,7.0,1,6,100,0,0,0,0,76608
2021-12-22,6.0,2.0,1.0,1.0,2.0,0.0,western_ha,12.0,5,7,60,0,0,0,0,76608
2021-12-21,5.0,2.0,0.0,0.0,1.0,0.0,western_ha,8.0,4,4,27,0,0,0,0,76608
2021-12-20,6.0,3.0,1.0,0.0,3.0,0.0,western_ha,13.0,5,8,27,0,0,0,0,76608
2021-12-19,5.0,1.0,2.0,0.0,0.0,0.0,western_ha,2.0,4,4,38,0,0,0,0,76608
2021-12-17,16.0,10.0,3.0,2.0,0.0,0.0,western_ha,31.0,15,16,46,0,0,0,0,76608
2021-12-15,4.0,1.0,1.0,2.0,1.0,0.0,western_ha,9.0,6,3,13,0,0,0,0,76608
2021-12-13,0.0,0.0,0.0,0.0,0.0,0.0,western_ha,0.0,0,0,0,0,0,0,0,76608
