date,under_20,20_39,40_49,50_59,60_69,70,health_authority,new_cases,males,females,nl_cases,nl_hosp,nl_icu,nl_death,nl_tests,population
2022-02-02,,,,,,,eastern_ha,,0,0,248,20,9,3,865,317664
2022-02-01,,,,,,,eastern_ha,,0,0,179,25,11,0,1460,317664
2022-01-31,,,,,,,eastern_ha,,0,0,183,22,9,2,900,317664
2022-01-30,,,,,,,eastern_ha,,0,0,0,0,0,0,0,317664
2022-01-29,,,,,,,eastern_ha,,0,0,0,0,0,0,0,317664
2022-01-28,,,,,,,eastern_ha,,0,0,265,20,8,0,1759,317664
2022-01-27,,,,,,,eastern_ha,,0,0,378,20,7,4,2091,317664
2022-01-26,,,,,,,eastern_ha,,0,0,304,20,7,3,2017,317664
2022-01-25,,,,,,,eastern_ha,,0,0,296,20,5,0,1756,317664
2022-01-24,,,,,,,eastern_ha,,0,0,349,21,5,1,2015,317664
2022-01-23,,,,,,,eastern_ha,,0,0,0,0,0,0,0,317664
2022-01-22,,,,,,,eastern_ha,,0,0,0,0,0,0,0,317664
2022-01-21,,,,,,,eastern_ha,,0,0,324,18,1,0,1516,317664
2022-01-20,,,,,,,eastern_ha,,0,0,360,20,4,2,1462,317664
2022-01-19,,,,,,,eastern_ha,,0,0,511,18,4,0,2449,317664
2022-01-18,,,,,,,eastern_ha,,0,0,295,14,3,2,1426,317664
2022-01-17,37.0,66.0,23.0,19.0,19.0,8.0,eastern_ha,172.0,89,83,239,15,3,0,0,317664
2022-01-16,,,,,,,eastern_ha,,0,0,0,0,0,0,0,317664
2022-01-15,,,,,,,eastern_ha,,0,0,0,0,0,0,0,317664
2022-01-14,58.0,122.0,37.0,49.0,28.0,56.0,eastern_ha,350.0,167,183,475,8,3,1,0,317664
2022-01-13,81.0,210.0,83.0,76.0,32.0,37.0,eastern_ha,519.0,247,272,686,8,3,0,0,317664
2022-01-12,93.0,187.0,66.0,69.0,45.0,57.0,eastern_ha,517.0,247,270,731,7,3,0,0,317664
2022-01-11,94.0,241.0,73.0,95.0,60.0,43.0,eastern_ha,606.0,306,300,750,7,3,0,0,317664
2022-01-10,175.0,394.0,128.0,134.0,64.0,51.0,eastern_ha,946.0,449,497,1135,4,2,0,0,317664
2022-01-09,,,,,,,eastern_ha,,0,0,0,0,0,0,0,317664
2022-01-08,,,,,,,eastern_ha,,0,0,0,0,0,0,0,317664
2022-01-07,36.0,71.0,32.0,47.0,12.0,11.0,eastern_ha,209.0,91,118,480,4,0,1,0,317664
2022-01-06,36.0,94.0,43.0,28.0,21.0,19.0,eastern_ha,241.0,108,133,503,4,0,0,0,317664
2022-01-05,33.0,102.0,41.0,48.0,39.0,25.0,eastern_ha,288.0,127,161,479,3,0,0,0,317664
2022-01-04,40.0,103.0,24.0,52.0,25.0,23.0,eastern_ha,267.0,140,127,493,1,0,0,0,317664
2022-01-03,55.0,112.0,31.0,40.0,18.0,20.0,eastern_ha,276.0,136,140,519,1,0,0,0,317664
2022-01-02,,,,,,,eastern_ha,,0,0,0,0,0,0,0,317664
2022-01-01,,,,,,,eastern_ha,,0,0,0,0,0,0,0,317664
2021-12-31,36.0,98.0,39.0,44.0,35.0,20.0,eastern_ha,272.0,132,140,431,1,0,1,0,317664
2021-12-30,37.0,86.0,27.0,30.0,10.0,9.0,eastern_ha,199.0,88,111,349,1,0,0,0,317664
2021-12-29,34.0,106.0,26.0,32.0,13.0,5.0,eastern_ha,216.0,100,116,312,0,0,0,0,317664
2021-12-28,,,,,,,eastern_ha,,0,0,0,0,0,0,0,317664
2021-12-27,,,,,,,eastern_ha,,0,0,0,0,0,0,0,317664
2021-12-26,,,,,,,eastern_ha,,0,0,0,0,0,0,0,317664
2021-12-25,,,,,,,eastern_ha,,0,0,0,0,0,0,0,317664
2021-12-24,9.0,28.0,3.0,5.0,1.0,1.0,eastern_ha,47.0,29,18,85,1,0,0,0,317664
2021-12-23,5.0,49.0,7.0,10.0,2.0,0.0,eastern_ha,73.0,37,36,100,0,0,0,0,317664
2021-12-22,2.0,25.0,2.0,4.0,3.0,1.0,eastern_ha,37.0,17,20,60,0,0,0,0,317664
2021-12-21,2.0,3.0,0.0,2.0,2.0,0.0,eastern_ha,9.0,3,6,27,0,0,0,0,317664
2021-12-20,0.0,3.0,1.0,0.0,0.0,0.0,eastern_ha,4.0,3,1,27,0,0,0,0,317664
2021-12-19,0.0,9.0,1.0,3.0,0.0,0.0,eastern_ha,5.0,7,6,38,0,0,0,0,317664
2021-12-18,0.0,4.0,0.0,1.0,0.0,0.0,eastern_ha,,2,3,20,0,0,0,0,317664
2021-12-17,1.0,6.0,1.0,2.0,1.0,0.0,eastern_ha,11.0,9,2,46,0,0,0,0,317664
2021-12-16,,,,,,,eastern_ha,,0,0,0,0,0,0,0,317664
2021-12-15,0.0,2.0,0.0,0.0,1.0,0.0,eastern_ha,3.0,2,1,13,0,0,0,0,317664
2021-12-14,,,,,,,eastern_ha,,0,0,0,0,0,0,0,317664
2021-12-13,0.0,3.0,0.0,0.0,1.0,0.0,eastern_ha,4.0,0,0,0,0,0,0,0,317664
