date,under_20,20_39,40_49,50_59,60_69,70,health_authority,new_cases,males,females,nl_cases,nl_hosp,nl_icu,nl_death,nl_tests,population
2022-02-02,,,,,,,private,,0,0,248,20,9,3,865,0
2022-02-01,,,,,,,private,,0,0,179,25,11,0,1460,0
2022-01-31,,,,,,,private,,0,0,183,22,9,2,900,0
2022-01-30,,,,,,,private,,0,0,0,0,0,0,0,0
2022-01-29,,,,,,,private,,0,0,0,0,0,0,0,0
2022-01-28,,,,,,,private,,0,0,265,20,8,0,1759,0
2022-01-27,,,,,,,private,,0,0,378,20,7,4,2091,0
2022-01-26,,,,,,,private,,0,0,304,20,7,3,2017,0
2022-01-25,,,,,,,private,,0,0,296,20,5,0,1756,0
2022-01-24,,,,,,,private,,0,0,349,21,5,1,2015,0
2022-01-23,,,,,,,private,,0,0,0,0,0,0,0,0
2022-01-22,,,,,,,private,,0,0,0,0,0,0,0,0
2022-01-21,,,,,,,private,,0,0,324,18,1,0,1516,0
2022-01-20,,,,,,,private,,0,0,360,20,4,2,1462,0
2022-01-19,,,,,,,private,,0,0,511,18,4,0,2449,0
2022-01-18,,,,,,,private,,0,0,295,14,3,2,1426,0
2022-01-17,0.0,0.0,2.0,0.0,0.0,0.0,private,2.0,2,0,239,15,3,0,0,0
2022-01-16,,,,,,,private,,0,0,0,0,0,0,0,0
2022-01-15,,,,,,,private,,0,0,0,0,0,0,0,0
2022-01-14,1.0,5.0,0.0,1.0,1.0,1.0,private,9.0,6,3,475,8,3,1,0,0
2022-01-13,3.0,6.0,1.0,2.0,1.0,0.0,private,13.0,8,5,686,8,3,0,0,0
2022-01-12,3.0,10.0,1.0,4.0,2.0,1.0,private,21.0,12,9,731,7,3,0,0,0
2022-01-11,1.0,10.0,1.0,4.0,0.0,0.0,private,16.0,8,8,750,7,3,0,0,0
2022-01-10,3.0,11.0,1.0,6.0,5.0,1.0,private,27.0,15,12,1135,4,2,0,0,0
2022-01-09,,,,,,,private,,0,0,0,0,0,0,0,0
2022-01-08,,,,,,,private,,0,0,0,0,0,0,0,0
2022-01-07,0.0,1.0,1.0,0.0,1.0,3.0,private,6.0,1,5,480,4,0,1,0,0
2022-01-06,2.0,4.0,1.0,1.0,0.0,0.0,private,8.0,4,4,503,4,0,0,0,0
2022-01-05,0.0,3.0,0.0,2.0,0.0,2.0,private,7.0,3,4,479,3,0,0,0,0
2022-01-04,2.0,3.0,1.0,1.0,1.0,3.0,private,11.0,7,4,493,1,0,0,0,0
2022-01-03,3.0,4.0,3.0,0.0,0.0,1.0,private,11.0,4,7,519,1,0,0,0,0
2022-01-02,,,,,,,private,,0,0,0,0,0,0,0,0
2022-01-01,,,,,,,private,,0,0,0,0,0,0,0,0
2021-12-31,0.0,2.0,0.0,0.0,1.0,2.0,private,5.0,4,1,431,1,0,1,0,0
2021-12-30,1.0,1.0,3.0,2.0,2.0,0.0,private,9.0,5,4,349,1,0,0,0,0
2021-12-29,0.0,1.0,0.0,0.0,0.0,0.0,private,1.0,1,0,312,0,0,0,0,0
2021-12-28,,,,,,,private,,0,0,0,0,0,0,0,0
2021-12-27,,,,,,,private,,0,0,0,0,0,0,0,0
2021-12-26,,,,,,,private,,0,0,0,0,0,0,0,0
2021-12-25,,,,,,,private,,0,0,0,0,0,0,0,0
2021-12-24,0.0,0.0,0.0,0.0,0.0,0.0,private,0.0,0,0,85,1,0,0,0,0
2021-12-23,0.0,0.0,0.0,0.0,0.0,0.0,private,0.0,0,0,100,0,0,0,0,0
2021-12-22,0.0,0.0,0.0,0.0,0.0,0.0,private,0.0,0,0,60,0,0,0,0,0
2021-12-21,0.0,0.0,0.0,0.0,0.0,0.0,private,0.0,0,0,27,0,0,0,0,0
2021-12-20,0.0,0.0,0.0,0.0,0.0,0.0,private,0.0,0,0,27,0,0,0,0,0
2021-12-19,0.0,0.0,0.0,0.0,0.0,0.0,private,16.0,0,0,38,0,0,0,0,0
2021-12-18,0.0,0.0,0.0,0.0,0.0,0.0,private,,0,0,20,0,0,0,0,0
2021-12-17,0.0,0.0,0.0,0.0,0.0,0.0,private,0.0,0,0,46,0,0,0,0,0
2021-12-16,,,,,,,private,,0,0,0,0,0,0,0,0
2021-12-15,0.0,0.0,0.0,0.0,0.0,0.0,private,0.0,0,0,13,0,0,0,0,0
2021-12-14,,,,,,,private,,0,0,0,0,0,0,0,0
2021-12-13,,,,,,,private,,0,0,0,0,0,0,0,0
