date,contact,travel,under_inv,total,under_20yrs,youthadults_20_39,rubyage_40_49,goldage_50_59,diamondage_60_69,platinumage_70up,days_since
2021-12-15,8.0,0.0,1.0,9.0,4.0,1.0,1.0,2.0,1.0,0.0,2.0
2021-12-17,20.0,0.0,11.0,31.0,16.0,10.0,3.0,2.0,0.0,0.0,2.0
2021-12-18,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
2021-12-19,3.0,0.0,5.0,8.0,5.0,1.0,2.0,0.0,0.0,0.0,1.0
2021-12-20,9.0,0.0,4.0,13.0,6.0,3.0,1.0,0.0,3.0,0.0,1.0
2021-12-21,7.0,0.0,1.0,8.0,5.0,2.0,0.0,0.0,1.0,0.0,1.0
2021-12-22,0.0,0.0,12.0,12.0,6.0,2.0,1.0,1.0,2.0,0.0,1.0
2021-12-23,0.0,1.0,6.0,7.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0
2021-12-24,4.0,0.0,22.0,26.0,10.0,6.0,7.0,1.0,1.0,1.0,1.0
2021-12-29,0.0,0.0,30.0,30.0,4.0,16.0,1.0,4.0,2.0,3.0,5.0
2021-12-30,0.0,0.0,22.0,22.0,4.0,7.0,7.0,2.0,1.0,1.0,1.0
2021-12-31,0.0,0.0,25.0,25.0,2.0,9.0,7.0,4.0,1.0,2.0,1.0
2022-01-03,0.0,0.0,43.0,43.0,5.0,17.0,7.0,8.0,2.0,4.0,4.0
